Semester,WeekNum,Status
GAV4018-N,12,P
GAV4028-N,13,P
GAV4018-N,11,P
GAV4028-N,11,P
GAV4018-N,11,P
GAV4028-N,11,P
GAV4028-N,9,P
GAV4028-N,9,P
GAV4018-N,10,P
GAV4017-N,9,P
GAV4018-N,10,P
GAV4017-N,10,P
GAV4028-N,10,P
GAV4028-N,10,P
GAV4017-N,10,P
GAV4017-N,11,P
CIS4010-N,7,P
CIS4010-N,7,P
CIS4008-N,7,P
CIS4008-N,7,P
CIS4037-N,6,P
CIS4010-N,6,P
CIS4010-N,6,P
CIS4037-N,7,P
CIS4037-N,6,P
CIS4008-N,6,P
CIS4008-N,6,P
CIS4037-N,5,P
CIS4010-N,5,P
CIS4010-N,5,P
CIS4008-N,5,P
CIS4008-N,5,P
CIS4037-N,5,P
CIS4008-N,4,P
CIS4008-N,4,P
CIS4010-N,4,P
CIS4010-N,3,P
CIS4010-N,3,P
CIS4037-N,3,P
CIS4037-N,3,P
CIS4040-N,2,P
CIS4010-N,2,P
CIS4037-N,2,P
CIS4037-N,2,P
CIS4010-N,4,P
CIS4037-N,4,P
CIS4037-N,4,P
CIS4010-N,8,P
CIS4008-N,8,P
CIS4008-N,8,P
CIS4037-N,8,P
CIS4037-N,7,P
CIS4037-N,9,P
CIS4037-N,8,P
CIS4010-N,8,P
CIS4037-N,9,P
CIS4010-N,9,P
CIS4010-N,9,P
CIS4010-N,12,P
CIS4010-N,12,P
CIS4010-N,13,P
CIS4010-N,13,P
CIS4037-N,12,P
CIS4010-N,10,P
CIS4010-N,10,P
CIS4008-N,10,P
CIS4010-N,11,P
CIS4010-N,11,P
CIS4008-N,10,P
CIS4008-N,11,P
CIS4008-N,11,P
CIS4037-N,12,P
CIS4037-N,13,P
CIS4008-N,12,P
CIS4008-N,12,P
CIS4008-N,13,P
CIS4008-N,13,P
CIS4037-N,13,P
CIS4037-N,11,P
CIS4037-N,10,P
CIS4008-N,9,P
CIS4008-N,9,P
CIS4037-N,10,P
CIS4037-N,11,P
GAV4037-N,3,P
GAV4037-N,2,P
GAV4037-N,2,P
GAV4038-N,6,P
GAV4037-N,5,P
GAV4037-N,3,P
GAV4038-N,3,P
GAV4038-N,3,P
GAV4017-N,5,P
GAV4017-N,5,P
GAV4038-N,2,P
GAV4037-N,2,P
GAV4017-N,2,P
GAV4037-N,3,P
GAV4017-N,3,P
GAV4037-N,5,P
GAV4038-N,6,P
GAV4037-N,4,P
GAV4037-N,4,P
GAV4038-N,6,P
GAV4037-N,2,P
GAV4037-N,2,P
GAV4037-N,3,P
GAV4038-N,4,P
GAV4017-N,6,P
GAV4017-N,6,P
GAV4037-N,6,P
GAV4037-N,6,P
GAV4038-N,5,P
GAV4017-N,4,P
GAV4017-N,5,P
GAV4038-N,3,P
GAV4038-N,3,P
GAV4037-N,3,P
GAV4037-N,3,P
GAV4017-N,2,P
GAV4037-N,2,P
GAV4038-N,2,P
GAV4038-N,2,P
GAV4038-N,4,P
GAV4017-N,7,P
GAV4037-N,7,P
GAV4037-N,7,P
GAV4037-N,8,P
GAV4038-N,8,P
GAV4017-N,8,P
GAV4017-N,9,P
GAV4038-N,9,P
GAV4037-N,12,P
GAV4017-N,11,P
GAV4038-N,11,P
GAV4017-N,12,P
GAV4037-N,12,P
GAV4017-N,12,P
GAV4017-N,10,P
GAV4038-N,10,P
GAV4017-N,9,P
GAV4037-N,9,P
GAV4038-N,9,P
GAV4038-N,10,P
GAV4037-N,9,P
GAV4037-N,10,P
GAV4037-N,10,P
CIS4023-N,6,P
CIS4022-N,6,P
CIS4021-N,6,P
CIS4021-N,5,P
CIS4023-N,4,P
CIS4022-N,4,P
CIS4022-N,5,P
CIS4021-N,4,P
CIS4021-N,2,P
CIS4023-N,2,P
CIS4021-N,3,P
CIS4022-N,2,P
CIS4022-N,8,P
CIS4023-N,7,P
CIS4022-N,7,P
CIS4022-N,12,P
CIS4023-N,12,P
CIS4023-N,13,P
CIS4021-N,12,P
CIS4022-N,11,P
CIS4023-N,10,P
CIS4023-N,9,P
CIS4022-N,9,P
CIS4021-N,10,P
CIS4022-N,10,P
CIS4022-N,13,P
GAV3009-N,2,P
GAV3009-N,3,P
GAV3009-N,3,P
